任务唯一标识,入口脚本名称,量子后端名称,迭代总次数,请求的每迭代采样次数,实际累积采样次数,实际量子位数,展开的量子位数,预估成本,运行环境标签,采样一致性判断,结果目录路径,开始时间(ISO 8601),结束时间(ISO 8601),执行时长(秒),运行状态,结果摘要,Python版本,系统信息(JSON),量子转译指标(JSON),算法收敛指标(JSON)
protein_folding_20260216_135439_a57cd429,run_opt.py,local,10,100,1000,9,168,0.0,local,True,results\20260216_135439_local_estimator,2026-02-16T13:54:39.344637,2026-02-16T13:54:40.945486,1.600849,success,min_energy=1198.601930,3.12.12,"{""platform"": ""Windows-10-10.0.19044-SP0"", ""platform_release"": ""10"", ""architecture"": ""64bit"", ""machine"": ""AMD64"", ""processor"": ""Intel64 Family 6 Model 140 Stepping 1, GenuineIntel"", ""working_directory"": ""D:\\code\\quantum""}","{""logical_qubits"": 9, ""physical_qubits"": 9, ""depth"": 10, ""two_qubit_gates"": 8, ""ops"": {""ry"": 18, ""cx"": 8}}","{""iterations_total"": 10, ""best_run_index"": 1, ""best_energy"": 1198.6019300000003, ""energy_end_best_run"": 1206.1607899999997, ""per_run"": [{""iterations"": 10, ""energy_start"": 1450.2868099999996, ""energy_end"": 1206.1607899999997, ""min_energy"": 1198.6019300000003, ""avg_decrease_per_iter"": 27.125113333333324}]}"
protein_folding_20260216_135511_fbe409e1,run_opt_sampler.py,local,10,100,1000,9,168,0.0,local,True,results\20260216_135511_local_sampler,2026-02-16T13:55:11.640973,2026-02-16T13:55:13.875969,2.234996,success,min_energy=8.344160,3.12.12,"{""platform"": ""Windows-10-10.0.19044-SP0"", ""platform_release"": ""10"", ""architecture"": ""64bit"", ""machine"": ""AMD64"", ""processor"": ""Intel64 Family 6 Model 140 Stepping 1, GenuineIntel"", ""working_directory"": ""D:\\code\\quantum""}","{""logical_qubits"": 9, ""physical_qubits"": 9, ""depth"": 11, ""two_qubit_gates"": 8, ""ops"": {""ry"": 18, ""measure"": 9, ""cx"": 8, ""barrier"": 1}}","{""iterations_total"": 20, ""best_energy"": 8.344160000000192, ""per_run"": [{""iterations"": 10, ""energy_start"": 23.618240000000213, ""energy_end"": 8.344160000000192, ""min_energy"": 8.344160000000192, ""avg_decrease_per_iter"": 1.6971200000000024}, {""iterations"": 10, ""energy_start"": 1.1368683772161603e-13, ""energy_end"": 0.0, ""min_energy"": -1.3959999999998445, ""avg_decrease_per_iter"": 1.2631870857957336e-14}]}"
protein_folding_20260216_135527_50df8523,run_sampler.py,local,10,100,1000,9,168,0.0,local,True,results\20260216_135527_local_sampler,2026-02-16T13:55:27.440705,2026-02-16T13:55:36.693346,9.252641,success,min_energy=0.000000,3.12.12,"{""platform"": ""Windows-10-10.0.19044-SP0"", ""platform_release"": ""10"", ""architecture"": ""64bit"", ""machine"": ""AMD64"", ""processor"": ""Intel64 Family 6 Model 140 Stepping 1, GenuineIntel"", ""working_directory"": ""D:\\code\\quantum""}","{""logical_qubits"": 9, ""physical_qubits"": 9, ""depth"": 11, ""two_qubit_gates"": 8, ""ops"": {""ry"": 18, ""measure"": 9, ""cx"": 8, ""barrier"": 1}}","{""iterations_total"": 10, ""best_energy"": 0.0, ""per_run"": [{""iterations"": 10, ""energy_start"": 0.0, ""energy_end"": 0.0, ""min_energy"": 0.0, ""avg_decrease_per_iter"": 0.0}]}"
protein_folding_20260216_135547_95f975fa,run_estimator.py,local,10,100,1000,9,168,0.0,local,True,results\20260216_135548_local_estimator,2026-02-16T13:55:47.703553,2026-02-16T13:55:50.940101,3.236548,success,min_energy=948.773714,3.12.12,"{""platform"": ""Windows-10-10.0.19044-SP0"", ""platform_release"": ""10"", ""architecture"": ""64bit"", ""machine"": ""AMD64"", ""processor"": ""Intel64 Family 6 Model 140 Stepping 1, GenuineIntel"", ""working_directory"": ""D:\\code\\quantum""}","{""logical_qubits"": 9, ""physical_qubits"": 9, ""depth"": 10, ""two_qubit_gates"": 8, ""ops"": {""ry"": 18, ""cx"": 8}}","{""iterations_total"": 10, ""best_run_index"": 1, ""best_energy"": 948.7737139876739, ""energy_end_best_run"": 948.7737139876739, ""per_run"": [{""iterations"": 10, ""energy_start"": 1568.6808274091482, ""energy_end"": 948.7737139876739, ""min_energy"": 948.7737139876739, ""avg_decrease_per_iter"": 68.87856815794159}]}"
protein_folding_20260216_135834_c27f9ffd,run_qthesis.py,local,50,100,5000,9,48,0.0,local,True,results\20260216_135834_qthesis_local,2026-02-16T13:58:34.099813,2026-02-16T13:58:48.898370,14.798557,success,min_energy=-1.425000,3.12.12,"{""platform"": ""Windows-10-10.0.19044-SP0"", ""platform_release"": ""10"", ""architecture"": ""64bit"", ""machine"": ""AMD64"", ""processor"": ""Intel64 Family 6 Model 140 Stepping 1, GenuineIntel"", ""working_directory"": ""D:\\code\\quantum""}",{},{}
protein_folding_20260216_135937_3eb9a822,run_qupepfold.py,local,10,1024,10240,10,10,0.0,local,True,results\20260216_135937_local_qupepfold,2026-02-16T13:59:37.041692,2026-02-16T14:00:53.341179,76.299487,success,cvar_min=-5.519288,3.12.12,"{""platform"": ""Windows-10-10.0.19044-SP0"", ""platform_release"": ""10"", ""architecture"": ""64bit"", ""machine"": ""AMD64"", ""processor"": ""Intel64 Family 6 Model 140 Stepping 1, GenuineIntel"", ""working_directory"": ""D:\\code\\quantum""}",{},{}
protein_folding_20260216_140133_96d525d4,run_stfc_qf.py,local,0,1000,1000,4,4,0.0,local,,results\20260216_140133_qaoa_stfc_qf,2026-02-16T14:01:33.807185,2026-02-16T14:01:34.827073,1.019888,success,,3.12.12,"{""platform"": ""Windows-10-10.0.19044-SP0"", ""platform_release"": ""10"", ""architecture"": ""64bit"", ""machine"": ""AMD64"", ""processor"": ""Intel64 Family 6 Model 140 Stepping 1, GenuineIntel"", ""working_directory"": ""D:\\code\\quantum""}",{},{}
protein_folding_20260226_133457_388ac6d2,run_sampler.py,local,10,100,1000,9,168,0.0,local,True,results\20260226_133457_local_sampler,2026-02-26T13:34:57.114008,2026-02-26T13:35:08.170045,11.056037,success,min_energy=0.000000,3.12.12,"{""platform"": ""Windows-10-10.0.19044-SP0"", ""platform_release"": ""10"", ""architecture"": ""64bit"", ""machine"": ""AMD64"", ""processor"": ""Intel64 Family 6 Model 140 Stepping 1, GenuineIntel"", ""working_directory"": ""D:\\code\\quantum""}","{""logical_qubits"": 9, ""physical_qubits"": 9, ""depth"": 11, ""two_qubit_gates"": 8, ""ops"": {""ry"": 18, ""measure"": 9, ""cx"": 8, ""barrier"": 1}}","{""iterations_total"": 10, ""best_energy"": 0.0, ""per_run"": [{""iterations"": 10, ""energy_start"": 0.0, ""energy_end"": 0.0, ""min_energy"": 0.0, ""avg_decrease_per_iter"": 0.0}]}"
protein_folding_20260226_144829_04221f07,run_opt.py,local,10,100,1000,9,168,0.0,local,True,results\20260226_144829_local_estimator,2026-02-26T14:48:29.498523,2026-02-26T14:48:31.167163,1.66864,success,min_energy=984.666050,3.12.12,"{""platform"": ""Windows-10-10.0.19044-SP0"", ""platform_release"": ""10"", ""architecture"": ""64bit"", ""machine"": ""AMD64"", ""processor"": ""Intel64 Family 6 Model 140 Stepping 1, GenuineIntel"", ""working_directory"": ""D:\\code\\quantum""}","{""logical_qubits"": 9, ""physical_qubits"": 9, ""depth"": 10, ""two_qubit_gates"": 8, ""ops"": {""ry"": 18, ""cx"": 8}}","{""iterations_total"": 10, ""best_run_index"": 1, ""best_energy"": 984.6660499999989, ""energy_end_best_run"": 984.6660499999989, ""per_run"": [{""iterations"": 10, ""energy_start"": 1741.3753800000006, ""energy_end"": 984.6660499999989, ""min_energy"": 984.6660499999989, ""avg_decrease_per_iter"": 84.07881444444463}]}"
protein_folding_20260226_144950_437d910e,run_opt_sampler.py,local,10,100,1000,9,168,0.0,local,True,results\20260226_144950_local_sampler,2026-02-26T14:49:50.199581,2026-02-26T14:49:51.887119,1.687538,success,min_energy=7.200000,3.12.12,"{""platform"": ""Windows-10-10.0.19044-SP0"", ""platform_release"": ""10"", ""architecture"": ""64bit"", ""machine"": ""AMD64"", ""processor"": ""Intel64 Family 6 Model 140 Stepping 1, GenuineIntel"", ""working_directory"": ""D:\\code\\quantum""}","{""logical_qubits"": 9, ""physical_qubits"": 9, ""depth"": 11, ""two_qubit_gates"": 8, ""ops"": {""ry"": 18, ""measure"": 9, ""cx"": 8, ""barrier"": 1}}","{""iterations_total"": 20, ""best_energy"": 7.200000000000118, ""per_run"": [{""iterations"": 10, ""energy_start"": 148.36124000000018, ""energy_end"": 7.200000000000118, ""min_energy"": 7.200000000000118, ""avg_decrease_per_iter"": 15.684582222222227}, {""iterations"": 10, ""energy_start"": 1.1368683772161603e-13, ""energy_end"": 1.1368683772161603e-13, ""min_energy"": -1.4249999999996135, ""avg_decrease_per_iter"": 0.0}]}"
